StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Condition,ParticipantID,Consent,Modified-TAS_1,Modified-TAS_2,Modified-TAS_3,Modified-TAS_4,Modified-TAS_5,Modified-TAS_6,Modified-TAS_7,Modified-TAS_8,Modified-TAS_9,Modified-TAS_10,Modified-TAS_11,Modified-TAS_12,Modified-TAS_13,Modified-TAS_14,Modified-TAS_15,Modified-TAS_16,Modified-TAS_17,Modified-TAS_18,Modified-TAS_19,Modified-TAS_20,Modified-TAS_21,Modified-TAS_22,Modified-TAS_23,Modified-TAS_24,Modified-TAS_25,Modified-TAS_26,Modified-TAS_27,Modified-TAS_28,Modified-TAS_29,Modified-TAS_30,Modified-TAS_31,Modified-TAS_32,Modified-TAS_33,Modified-TAS_34,MLQ-Pre_1,MLQ-Pre_2,MLQ-Pre_3,MLQ-Pre_4,MLQ-Pre_5,MLQ-Pre_6,MLQ-Pre_7,MLQ-Pre_8,MLQ-Pre_9,WCS-Pre_1,WCS-Pre_2,WCS-Pre_3,WCS-Pre_4,WCS-Pre_5,WCS-Pre_6,WCS-Pre_7,WCS-Pre_8,WCS-Pre_9,WCS-Pre_10,WCS-Pre_11,WCS-Pre_12,WCS-Pre_13,WCS-Pre_14,WCS-Pre_15,WCS-Pre_16,WCS-Pre_17,WCS-Pre_18,WCS-Pre_19,WEMWBS-Pre_1,WEMWBS-Pre_2,WEMWBS-Pre_3,WEMWBS-Pre_4,WEMWBS-Pre_5,WEMWBS-Pre_6,WEMWBS-Pre_7,WEMWBS-Pre_8,WEMWBS-Pre_9,WEMWBS-Pre_10,WEMWBS-Pre_11,WEMWBS-Pre_12,WEMWBS-Pre_13,WEMWBS-Pre_14,FlourishingScale-Pre_1,FlourishingScale-Pre_2,FlourishingScale-Pre_3,FlourishingScale-Pre_4,FlourishingScale-Pre_5,FlourishingScale-Pre_6,FlourishingScale-Pre_7,FlourishingScale-Pre_8,PHQ-Pre_1,PHQ-Pre_2,PHQ-Pre_3,PHQ-Pre_4,PHQ-Pre_5,PHQ-Pre_6,PHQ-Pre_7,PHQ-Pre_8,PHQ-Pre_9,STAI-Pre_1,STAI-Pre_2,STAI-Pre_3,STAI-Pre_4,STAI-Pre_5,STAI-Pre_6,STAI-Pre_7,STAI-Pre_8,STAI-Pre_9,STAI-Pre_10,STAI-Pre_11,STAI-Pre_12,STAI-Pre_13,STAI-Pre_14,STAI-Pre_15,STAI-Pre_16,STAI-Pre_17,STAI-Pre_18,STAI-Pre_19,STAI-Pre_20,STAI-Pre_21,STAI-Pre_22,STAI-Pre_23,DAT-Pre_4,DAT-Pre_5,DAT-Pre_6,DAT-Pre_7,DAT-Pre_8,DAT-Pre_9,DAT-Pre_10,DAT-Pre_11,DAT-Pre_12,DAT-Pre_13,DAT-Pre-Timing_First Click,DAT-Pre-Timing_Last Click,DAT-Pre-Timing_Page Submit,DAT-Pre-Timing_Click Count,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,VMM-1,VMM-2,VMM-3,VMM-4,VMM-5,VMM-6,VMM-7,VMM-Timing_First Click,VMM-Timing_Last Click,VMM-Timing_Page Submit,VMM-Timing_Click Count,VMM-Questions_1,VMM-Questions_5,WCS-Post_1,WCS-Post_2,WCS-Post_3,WCS-Post_4,WCS-Post_5,WCS-Post_6,WCS-Post_7,WCS-Post_8,WCS-Post_9,WCS-Post_10,WCS-Post_11,WCS-Post_12,WCS-Post_13,WCS-Post_14,WCS-Post_15,WCS-Post_16,WCS-Post_17,WCS-Post_18,WCS-Post_19,MLQ-Post_1,MLQ-Post_2,MLQ-Post_3,MLQ-Post_4,MLQ-Post_5,MLQ-Post_6,MLQ-Post_7,MLQ-Post_8,MLQ-Post_9,VAS_Bowdle-Post_1,VAS_Bowdle-Post_2,VAS_Bowdle-Post_3,VAS_Bowdle-Post_4,VAS_Bowdle-Post_5,VAS_Bowdle-Post_6,VAS_Bowdle-Post_7,VAS_Bowdle-Post_8,VAS_Bowdle-Post_9,VAS_Bowdle-Post_10,VAS_Bowdle-Post_11,VAS_Bowdle-Post_12,EDI_1,EDI_2,EDI_3,EDI_4,EDI_5,EDI_6,EDI_7,EDI_8,ASC_Short_1,ASC_Short_2,ASC_Short_3,ASC_Short_4,ASC_Short_5,ASC_Short_6,ASC_Short_7,ASC_Short_8,ASC_Short_9,ASC_Short_10,ASC_Short_11,Trance_1,Trance_2,Trance_3,Qualitative,STAI-Post_1,STAI-Post_2,STAI-Post_3,STAI-Post_4,STAI-Post_5,STAI-Post_6,STAI-Post_7,STAI-Post_8,STAI-Post_9,STAI-Post_10,STAI-Post_11,STAI-Post_12,STAI-Post_13,STAI-Post_14,STAI-Post_15,STAI-Post_16,STAI-Post_17,STAI-Post_18,STAI-Post_19,STAI-Post_20,STAI-Post_21,STAI-Post_22,STAI-Post_23,DAT-Post_4,DAT-Post_5,DAT-Post_6,DAT-Post_7,DAT-Post_8,DAT-Post_9,DAT-Post_10,DAT-Post_11,DAT-Post_12,DAT-Post_13,DAT-Post-Timing_First Click,DAT-Post-Timing_Last Click,DAT-Post-Timing_Page Submit,DAT-Post-Timing_Click Count,Age,Gender,Psychedelic,Dissociative,PreviousVR,ReligiousScale_7,Nausea_1
4/3/24 12:32,4/3/24 13:47,0,169.236.169.82,100,4462,1,4/3/24 13:47,R_74BJwCnXMeVYSWJ,,,,,37.3257,-120.4999,anonymous,EN,1,84961,4,3,3,3,2,1,4,3,1,1,1,2,4,1,2,2,3,3,4,4,4,1,4,2,1,2,4,3,2,2,3,1,2,3,4,6,5,6,6,7,6,6,6,5,3,7,6,7,3,5,7,1,7,7,5,2,2,6,5,2,6,7,5,4,4,3,3,3,4,4,4,5,4,4,4,3,3,7,7,7,7,7,7,7,7,1,1,2,1,2,1,2,1,1,3,4,3,1,3,1,2,4,1,1,3,3,1,1,3,4,3,1,3,4,1,4,1,backpack,watch,pencil,pen,phone,,,,,,18.789,157.808,180.004,7,303.585,303.585,303.587,1,"Blend of colors, forming a lake. ","A sun, circles","Circles, a bear face in the far right","Circles, a human like figure on the left","Circles, spheres, lines",Two faces near the top and bottom. ,"Circles, wavy lines",5.014,699.534,699.54,10,5.6,4.8,2,12,12,12,2,12,12,1,12,12,5,1,2,12,6,12,6,12,12,6,6,7,6,6,6,6,7,5,4,5,4,4,3,5,5,2,4,1,1,2,49,85,59,19,52,79,55,50,49,10,40,57,80,51,37,82,1,54,66,8,10,0,I felt relaxed and amazed of all the different colors and shapes. ,4,4,1,1,3,1,1,4,1,1,4,1,1,1,4,4,1,1,4,4,1,4,1,happy,sad,scared,bright,dark,,,,,,5.599,179.133,180.003,10,21,2,2,2,2,100,3
4/3/24 14:59,4/3/24 16:11,0,169.236.169.82,100,4319,1,4/3/24 16:11,R_1YX0yBteQ1nMhN7,,,,,37.3257,-120.4999,anonymous,EN,2,81214,4,3,2,1,5,1,5,3,4,2,1,3,2,3,1,1,1,2,1,2,4,1,5,2,1,5,5,1,2,4,3,1,3,1,5,5,4,6,5,5,4,5,5,6,2,7,6,4,1,7,7,2,5,2,2,5,1,7,5,6,7,1,7,4,5,1,3,4,3,3,4,2,4,4,4,2,3,6,6,6,6,5,5,6,5,1,2,3,3,2,1,2,1,1,3,4,2,2,2,1,1,2,1,1,3,1,2,2,3,3,1,1,3,3,1,4,1,fish,apple,vacuum,bedroom,mother,pen,skirt,sister,paris,cat,7.901,175.352,175.354,17,1649.039,1649.039,1649.041,1,I see a bunch of different colored crayons melted together.,Look as if I'm at the Grand Canyon looking up at the sun in the bottom center of the image.,I see two hands grabbing each other (only from the elbow to the wrist). ,"Looks like a building but from a perspective on looking up and seeing the floors slowly getting thinner and thinner while stacking on top of each other. Reminds me of a dull with with pollutions, bored citizens, and a cloudy sky. ",an abstract photo of the solar system with the ocean in the sky. The grey blob on the left looks like a random pigeon in the drawing.,"I see the stem of a rose from a very close up view. I can see the thrones, the petals at the top of the image, then stem going down, and other flowers in the back.","This looks like an alien with a very big head and a different shaped body. By the way the shape is presented, the head looking shape is slanted which to me indicates an evil plan of some sort.  ",15.428,669.327,669.329,37,2.5,9,1,6,6,6,1,12,6,1,3,1,1,2,2,6,6,12,12,4,12,3,3,5,6,5,4,2,5,5,3,2,3,1,1,2,3,1,1,1,3,2,10,1,1,50,5,30,1,50,1,1,40,60,90,60,90,95,60,55,1,9,6,0,"Just confused, didn't know if something or someone would pop in. Also felt a little curious to check all the different things like going upstairs, going through a door, going from one place to another fairly quick. ",4,4,1,1,3,1,1,2,1,1,4,1,1,1,3,3,1,1,3,3,1,3,1,pigeon,Space,toothbrush,office,shoes,crayons,california,grandma,book,notebook,4.194,168.25,168.252,8,22,2,1,1,1,90,20
4/4/24 15:00,4/4/24 16:05,0,169.236.169.82,100,3931,1,4/4/24 16:05,R_1OCarZL2He2FFc1,,,,,37.3257,-120.4999,anonymous,EN,1,86728,4,3,2,2,3,1,3,4,2,1,1,2,3,1,2,4,3,4,4,3,3,3,3,2,2,4,2,4,2,2,2,1,5,1,5,3,7,6,3,3,5,6,7,6,7,7,5,7,6,6,6,3,7,5,2,4,5,5,7,2,2,3,5,3,4,3,4,3,2,2,2,3,2,3,3,3,3,5,7,5,6,5,3,5,4,2,2,3,1,2,2,2,1,1,4,3,1,1,4,1,2,2,1,1,2,1,1,1,4,2,1,1,3,3,1,3,1,fire,water,sound,jump,shark,giraffe,fireman,school,boss,grade,16.646,99.646,99.648,3,1591.953,1594.203,1594.214,2,a rare flower blooming ,sunset over an extremely hot desert ,a dark woods encompassing smoke from a meteor ,a whale breaching from the ocean and growing wings ,a male figure looking across a desert looking at planets orbiting in space ,"mantis looking directly at me, its face mutated like a xenomorph queen from alien ",a face screaming out as something huge attaches itself to the face ,3.91,186.045,186.048,13,0,3,2,12,6,6,12,12,6,1,12,5,5,2,1,5,3,1,4,5,5,5,5,6,4,6,5,6,7,7,1,2,4,1,4,5,5,1,3,2,4,2,90,31,10,91,55,95,71,10,5,0,75,35,10,0,0,65,0,100,65,8,6,0,"it was if my sense of self was melted away, but not in a total euphoria such as taking acid or mushrooms, more an anxiety decrease, lowering of ego, and focusing on the benefits that the actions i take around me have on those i interact with. A form of out of body meditation so to speak",4,4,1,1,4,1,1,3,1,1,3,1,1,1,4,4,1,1,1,3,1,3,1,bird,airplane,hike,oak,sky,flower,rain,granite,windchime,waterfall,3.849,94.353,94.356,2,25,1,1,1,2,25,0
4/4/24 16:29,4/4/24 17:28,0,169.236.169.82,100,3542,1,4/4/24 17:28,R_1KdVMpmHvi77diW,,,,,37.3257,-120.4999,anonymous,EN,1,86812,4,3,3,4,4,3,2,4,2,2,1,2,3,2,2,1,2,2,4,2,3,3,4,2,3,3,2,4,3,2,3,2,4,1,2,5,6,6,5,5,5,3,5,7,6,6,3,5,5,5,5,5,4,5,5,5,6,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,6,5,5,5,6,6,6,6,1,1,2,2,1,1,1,2,1,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,3,Pernicious,Derriere,Rotunda,Mouse,Beam,Erudite,Desert,Zahavi,Reason,Truth,5.548,178.514,178.517,17,359.688,1698.944,1698.964,4,a human skull in the pink,circle and thin rectangles,a storm is approaching an empire,black oil paint on canvas mixed with black watercolor paint,tornado dancing,preying mantis smoke,gas mask on face bottom-middle right quadrant,1.64,212.411,212.416,18,7.3,0,3,3,6,3,3,6,3,2,4,3,2,4,3,3,3,6,3,3,3,5,5,4,5,5,5,5,5,5,2,2,4,2,4,1,2,2,2,2,2,2,10,10,20,90,30,70,11,20,11,0,21,10,11,30,0,31,40,21,0,7,9,1,"Observant of myself, much like a stage performer sitting in the audience watching himself perform, while simultaneously switching in between.",3,3,2,2,3,3,2,3,2,2,3,2,2,2,3,3,1,2,2,3,3,2,2,Meadow,Rake,Butter,Welcome,Mystique,Denounced,Desperate,Wellyed,Dune,Ardent,4.646,157.71,157.713,18,18,1,1,1,2,33,10
4/5/24 8:58,4/5/24 10:13,0,169.236.169.82,100,4527,1,4/5/24 10:13,R_5pKGbNxYZaVrAdj,,,,,37.3257,-120.4999,anonymous,EN,2,83539,4,1,3,1,3,1,5,1,1,1,1,1,3,2,2,4,4,1,4,1,4,1,1,4,4,4,5,4,3,1,3,2,2,1,5,5,2,1,6,6,5,5,2,2,5,3,5,4,3,5,2,6,6,5,5,3,2,4,6,5,7,7,7,3,3,1,3,2,3,2,3,4,3,3,4,5,3,6,5,2,5,3,6,4,4,3,2,3,2,4,2,4,1,4,2,3,3,3,2,3,3,2,3,1,2,2,1,4,2,2,2,3,2,2,2,3,2,apple,books,horse,shirt,computer,glasses,beach,gym,tent,plate,28.481,156.2,156.202,11,1549.938,1551.041,1551.043,2,I see colorful splatters that drip to the floor ,looks like there is a bridge connecting the two sides together or mountains ,"I see black paint splatters, a lot of circles and stripes",looks like feathers attached together,i see black/ grey objects. it looks like ink splatters ,I see three faces that have pointy jaws and they look mean,looks like chlorophyll in water and it looks very veiny  ,9.82,378.665,378.668,13,10,0.6,5,3,2,2,2,3,2,5,5,5,4,2,3,5,6,3,4,6,6,6,4,3,5,6,4,3,3,3,3,4,4,4,4,3,5,4,4,2,5,5,3,4,3,35,6,79,35,48,4,13,2,2,92,57,84,96,71,93,3,8,7,7,"I felt very lost and confused. Also, the sounds changed the way I viewed certain areas. I found the shower room very relaxing and was not anxious there. But the construction site made me more anxious. The robot people also freaked me out and I felt something was going to pop out of nowhere. ",2,2,3,3,2,2,3,1,3,3,1,4,3,4,2,2,2,3,2,2,1,2,3,robot,door,bunny,restroom,flower,nails,death,ice ,girl,music,3.26,120.145,120.148,18,19,2,2,1,2,67,3
4/5/24 10:13,4/5/24 11:26,0,169.236.169.82,100,4337,1,4/5/24 11:26,R_2YzVe6TqDRPULS5,,,,,37.3257,-120.4999,anonymous,EN,1,86791,4,2,4,4,4,1,5,5,2,1,2,3,5,1,4,3,5,5,4,4,5,2,2,3,4,2,4,4,3,4,5,1,4,2,5,7,3,2,6,7,7,4,5,2,3,6,6,6,4,6,6,2,7,6,5,2,4,7,5,7,4,6,5,3,4,2,5,3,2,3,2,4,3,3,4,4,2,5,6,6,6,7,5,4,6,4,1,3,2,3,1,2,1,1,3,3,1,1,4,1,2,3,1,1,2,2,1,1,2,3,2,1,2,2,1,3,1,plant,pencil,shoe,coal,water,,,,,,28.49,140.636,180.004,8,262.225,1715.13,1715.17,2,I see happiness and creativity. The vivid and bright colors interact with one another in a way that's pleasing to the eye.,"This could be the wings of a butterfly or the petal of a flower. My first thought was a bumblebee. Thee two colors compliment one another, helping every detail stand out.","I see two different streaks, not exactly mixing but they're connected in some way. The darker streak seems to go down while the lighter one is going upwards.","This almost reminds me of a wave crashing, or when something is rolling down a steep terrain and crashes against a boulder.","I see circles and lines. It looks like an elegant painting in which the artist took careful consideration of where to put each splotch. I also see it as the lines trying to warp around the circles, almost causing them to become distorted. ","I see two faces, one at the top and one at the bottom. The one at the top seems to be holding the smaller face, wrapping its arms around the little face's arms. ","I see a Brussel sprout or a lettuce leaf. I also see this as frustration, almost when you throw something down in water and it splashes everywhere.",12.872,839.806,839.81,10,4.6,7,1,6,12,12,4,5,12,1,12,5,5,1,2,12,12,12,4,4,6,7,5,3,7,7,7,4,3,4,5,5,5,4,2,4,5,5,4,2,5,2,28,31,50,3,3,81,59,49,48,10,51,70,60,1,2,1,1,63,37,9,10,1,"At first I was thinking about some problems I have, and I tried focusing on what the lady singing was saying. Then as I progressed through the different colors I felt as if I were the only person existing, just flying though a completely different universe. I felt my mood change with the colors as well, for example when I would see the blue colors, I felt calm and relief. ",4,3,1,1,3,1,1,3,1,1,3,1,2,1,3,3,1,1,3,3,1,3,1,void,flow,anxious,vivid,overwhelm,spike,encouragement,fire,life ,time ,2.718,179.762,180.004,31,18,2,2,2,2,100,
4/5/24 11:31,4/5/24 12:29,0,169.236.169.82,100,3514,1,4/5/24 12:29,R_1CDhbNuN1GEHZW7,,,,,37.3257,-120.4999,anonymous,EN,2,84790,4,2,3,1,4,1,4,1,3,1,1,2,4,1,1,4,2,2,1,1,2,1,1,4,1,3,5,4,2,1,3,3,2,1,3,5,6,6,5,7,4,6,7,5,5,5,6,4,2,5,3,5,7,6,3,4,5,6,7,7,5,6,7,3,2,3,4,2,3,3,2,3,3,3,3,3,2,6,6,6,5,6,6,7,5,3,2,4,3,4,2,2,3,1,4,3,1,1,3,1,1,3,1,1,2,2,1,2,3,4,1,2,3,3,1,3,1,car,balloon,sky,paper,tea,shoes,lightbulb,blanket,cookies,couch,18.83,91.65,91.653,11,177.077,1597.104,1597.106,2,like a very colorful lava lamp,"i see a nature landscape, like a sunset image of a mountain or canyon range, where the trees and mountains are painted yellow from the sun",I see something colliding onto another thing - perhaps fire onto water? I see splashes of water perhaps onto an ocean.,a whirpool or wave in an ocean or something,Like a body of water perhaps something emerging from it - maybe like an eel or something coming out of the water,it looks like a zoomed in image of a wing from an insect or something,like a microscopic image of a plant where you can see the cells and stuff,10.864,434.661,434.664,8,7,0.6,6,6,6,6,5,6,5,12,6,6,5,3,5,12,6,12,6,5,12,6,6,7,6,6,6,6,6,6,3,5,4,1,3,2,4,2,1,1,1,4,20,11,4,21,21,69,27,10,0,4,0,0,84,94,94,91,82,67,0,9,10,7,"I couldn't make decisions, so initially, I felt calm and collected. The task presented was to explore the areas so I did. Then it kind of got boring after a while, since I didn't see anyone else, had any sort of task and everything seemed monotonus. Then I figured out how to go upstairs and then my pace became quicker - I wanted to see how much was left to explore. After realizing the stairs and the building were only limited to what I explored, my mission was to escape and try to go outside. Thats when I felt more anxious and less in control since I couldn't open any of the doors, all sense of control was lost. Time seemed to drag on. ",2,2,3,3,1,3,1,1,1,2,1,2,3,2,1,1,2,3,1,1,1,2,2,iron,control,room,yellow,train,doll,red,escape,pink,sky,1.652,65.62,65.623,19,21,2,2,2,2,100,0
4/5/24 12:36,4/5/24 13:28,0,169.236.169.82,100,3122,1,4/5/24 13:28,R_7TI7v1gPB2emWNb,,,,,37.3257,-120.4999,anonymous,EN,1,83716,4,2,3,3,4,3,2,3,4,4,5,2,2,5,4,3,3,5,3,3,4,3,4,4,3,2,5,4,4,4,3,4,5,5,2,3,7,6,3,3,4,6,5,5,5,5,5,6,7,4,7,6,3,3,4,6,6,3,2,4,3,5,6,2,3,2,4,4,5,3,3,3,3,5,3,5,3,4,5,6,3,6,4,5,5,2,1,1,2,3,3,2,1,1,3,3,2,1,3,1,3,2,2,1,2,2,1,1,2,1,2,2,2,1,1,1,1,mind,soul,thoughts,school,future,time,job,stress,interview,booked,10.006,87.74,87.743,15,213.959,1541.265,1541.289,3,it looks like creativity. Different moods being mixed together to create a creative thought,"It looks like the motion between tired and joy, joy is coming in and tiredness is being broken",It looks like a looming state of being stuck. As one blotch of black heads one way and another a different direction,"It looks like the concept of being busy, as if it's just all splattered together",It looks like an alien planet with floating pieces of rocks,"It looks like intelligence being created, how thoughts might feel when connection information","It looks like jealousy and frustration, the color is jealousy and the strings are frustration",3.329,268.082,268.087,18,2,6,5,6,12,12,12,5,12,4,3,3,3,5,5,3,3,3,3,6,6,3,6,6,4,3,4,6,5,5,2,4,5,3,1,4,5,2,1,2,5,1,70,10,1,26,67,100,70,93,53,0,36,9,9,31,0,75,0,96,20,9,9,0,"I felt extremely calm, I was able to not think about all the stressful things I have to do or how busy I am, I felt very comfortable with the vibrating backpack being in sync with the music and vision",4,3,1,1,4,1,1,4,1,1,2,1,1,1,4,3,1,1,3,4,1,2,1,mind,life,calm,lights,vibration,pressure,comfort,bundled,light,stress,1.028,62.44,62.443,12,21,2,1,1,2,7,0
4/5/24 13:28,4/5/24 14:53,0,169.236.169.82,100,5100,1,4/5/24 14:53,R_2HMus5FYR9IatDb,,,,,37.3257,-120.4999,anonymous,EN,2,80365,4,4,1,3,1,5,5,3,3,5,1,3,3,4,1,3,3,3,5,5,5,2,4,5,1,1,3,5,2,1,4,3,3,1,2,3,6,3,1,4,3,6,2,6,5,4,4,7,5,4,7,4,4,4,4,4,4,5,5,1,4,7,5,3,3,5,1,3,2,2,2,3,2,3,3,5,3,5,5,7,4,5,5,5,5,3,1,2,4,3,3,3,3,1,4,2,2,1,4,1,2,1,1,1,1,2,2,3,4,4,4,3,2,1,1,2,1,hair,chair,pen,ring,fire,eye,rock,shoe,four,two,28.507,110.058,110.061,18,194.178,1595.689,1595.69,3,"oval, circle, rainbow","circle, splash water, sad","circles, oval, faces, water splash","flower, circle","circle, space, water","demon, faces, person,triangles, oval","faces, oval, circle, puctures of what a human body looks like",3.891,277.649,277.653,12,6.7,3.2,4,4,4,4,4,3,5,3,5,4,5,4,6,4,5,2,5,12,3,4,5,7,4,4,4,7,5,6,3,4,1,1,1,3,3,1,4,1,1,1,49,49,81,95,41,93,18,41,8,8,31,7,22,44,50,84,30,72,48,10,8,5,It was very amazing and cool. Felt like I was there once ,3,3,1,1,1,1,4,2,1,1,2,1,1,3,4,3,1,1,1,1,1,1,1,pop,car,lip,left,right,cute,ice,cat,up,down,1.462,61.35,61.352,11,21,2,2,2,2,45,
4/5/24 15:03,4/5/24 16:00,0,169.236.169.82,100,3403,1,4/5/24 16:00,R_4gboFW18yy3RJND,,,,,37.3257,-120.4999,anonymous,EN,1,81154,4,3,5,5,5,1,5,5,3,4,2,3,4,2,5,4,5,4,5,5,4,4,3,5,3,2,3,5,5,5,5,4,5,3,4,5,5,6,4,5,5,7,6,7,5,7,7,6,7,7,7,2,6,5,5,2,5,5,7,5,5,6,7,4,4,2,4,3,4,4,4,4,4,3,5,5,4,6,6,6,6,6,6,6,6,2,1,3,1,2,1,3,1,1,4,4,2,1,3,1,1,3,1,1,3,1,2,2,2,3,1,1,3,4,1,4,1,floor,sky,theories,colors,feelings,eyes,gardens,space,reality,time,8.561,114.223,114.226,26,1635.582,1637.245,1637.257,2,"This feels very upbeat, like happy music is playing, and this tree of color is emerging from the sound and the ground simultaneously. ","This looks more like a clash between ideas or feelings, they are mixed in here and there, very separate in some areas, but overall a mixture frozen in time, like a cake that was taken out of the oven too soon. ","This looks like the mountains and the sky, the negative angle that goes from left to right decending are the mountains, far away, and the right to left down swipe of the black and grey looks like clouds emerging from the mountains.","I see water and fluidity, change and transformation, like flowing ideas or movement, dancing, delicacy but also intensity. both heavy and light emotions. ","This reminds me of the ocean. Also very fluid, but dense, immense. This image makes me feel like a very small viewer of an otherwise very large scene of intensity and flourishing space. ","This image feels daunting, almost like it has eyes, looking back at me. Its almost escaping the boundaries of the image itself, very intensely seeking something. The darker greens feel like the structure and the lighter greens feel like soft insides that connect it all. The white space feels like rigid and purposeful. ","This feels like a plant under a microscope. It makes me think of growth, and movement, like the wind is blowing paint over the sky that has just been spilled. Theres also lots of depth in the darker colors, it draws you in, makes a big contrast with the light and fluidness of the rest of the image",2.416,396.886,396.889,10,9.9,5.7,4,12,6,6,12,6,12,2,12,6,5,2,3,6,12,5,6,12,6,5,7,6,5,5,5,6,6,7,3,3,5,5,5,5,5,1,2,5,3,2,63,40,31,53,91,100,10,79,26,5,80,35,23,25,5,99,5,63,30,10,7,2,"The visuals were very intense and I felt that I was being pulled along a ride. I felt completely out of my own control, a little nauseated at first but once I kind of zoned out from the intensity of the colors and lights flowing past me or pulling me I was more easily able to dissociate from those feelings and focus on the visual and auditorial stimulation. The VR set was heavy on my head which also amplified this sense of immersion. I felt pretty peaceful other than slight uneasiness in my stomach from the visual movement. It felt like I was experiencing another universe, or maybe my universe from different eyes.",4,4,2,1,4,1,1,3,1,1,2,1,2,2,3,3,1,1,4,4,1,4,2,travel,moonlight,dirt,blueberries,smiles,swirls,collective ,fluid ,air ,freedom ,1.048,106.094,106.096,14,22,2,1,1,2,6,71
