id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10
84961	tree	building	shoe	laptop	backpack	pencil	clouds	sleep	smile	frown
81214	Bonnet	Friend	Church	Cherry	Elephants	Laundry	Beach	coconut	School	Dad
86728	shower	waterfall	bird	chicken	dumpling	soup	fireplace	marshmallows	friend	stars
83716	Work	School	Homework	Clothes	Shoes	Car	Chair	Computer	Videos	Audio
86812	Brandy	Reading	Triangle	Erika	Reindeer	Webcam	Questioning	Turnips	Youtube	Pollyanna
86791	plant	space	darkness	empty	chair	paper	cologne	scribble	sponge 	duck
84412	tired	procrastinate	annoyed 	pets	noise	work	research	emails 	summer	sleep 
84790	life	meal	opportunity	carnival	picture	freedom	ant	time	focus	present
80365	red	tip	eye	boo	see	pen	key	pin	ear	lip
81154	paper	turtle	cloud	glass	dirt	blouse	food	frog	star	space
83539	chair	girl	book	apple	cat	car	beach	stool	phone	glasses
78778	Music 	Video game	Woman 	Shirt 	Dots	Fan 	Water bottle 	Light 	Stick	Keys 
85201	Ball	Troubleshoot manuel	Potato soup	Gum	Goose	Feet	Baseball Glove	Cheetos	Salmon	Shopkeeper
85819	Jupiter	Spinach	Tube	Turnip	Cauliflower	Expression	Background	Encapsulation	Locomotive	Predator
78304	apple	orange 	tree	car	arm	circle	triangles	square 	red	blue
80797	car	coffee	glass	keyboard	table	tree	newtons law of gravity	sugar	apple	purple
83614	shoe	dog	tree	grass	house	car	signs	phone	watch	necklace
79834	beast	nail	cord	tree	halo	cloud	pencil	rodeo	button	pressure
82423	Apple	House	CD	Books	Clown	Poster	Spiderweb	Vampire	Pumpkin	Coffee
86797	Art	Pool	Book	Letter	Fast	Laptop	Ipad	Phone	Nail	Finger 
81733	Frog	Car	Cloud	Box 	Rug	Tree	Creek	Chips 	Rose	Jewelry
78310	Ocean	Love	Chair	Piano	Music	Table 	Spoon	Plate	backpack	apple
78802	dictionary	wizard	wish	pasta	dog	boat	text	dolphin	sun	hurdle
84286	Mom	Him	Her	It	They	Blue	Space	Cup	Them	She
84352	car	headphones	mango	blue	grass	kayak	frame	ball	protest	january
81772	technology	nature	humanity	animals	progress	stagnation	temporary	everlasting	god	men
82123	red	tree	shoulder	fish	water	pole	metal	bed	saw	quilt
86890	person	octopus	orange	rock	emotion	summer	mushroom	tree	river	sly
78766	food	cars	keyboard	earbuds	books	bags	jewelry	watch	paint	phone
	Cup	Glass	Car	Bin	Chair	Shoe	Drawer	Mirror	Cardstock	Pillow
86821	thoughts	panda	religion	dust	bread	snow	tendon	concrete	photon	reflection
	Cody	Eric	Boba	Computer	Las Vegas	Taiwan	Japan	Thailand	Vietnam	China
78811	Phone	Hand	Light	Cat	car	Apple	Shoe	Sun	Planet	Computer
85690	book	number	computer	ocean	planet	forest	rock	medicine	lotion	homework
86200	dog	tree	chair	bike	projector	phone	cat	grass	boat	microwave
85564	homework 	computer 	car	water 	hair 	gym	day	food	hungry 	tv
86389	card	bed	shirt	lightbulb	dog	cat 	bear	fish 	scooter	spoon
78601	Sun 	Clock 	Tree	Book 	Weights 	Bike 	Life 	Rocks	Water	Music
83512	keyboard	medicine	coaster	pencil	bottle	speaker	sunglasses	keys	eyedrops	bed
84391	bottle 	baby	goat 	sock	Disneyland 	caterpillar	butterfly 	dolphin 	shark 	hair
86875	Trapped	Tree	Emotion	Loss	Peace	Time	Tingles	Squished	Honey	Block
76609	Music	Food	Train	Bed	Animal	Tree	Water	Computer	Face	Shoe
86071	God	rainbow	light	darkness	tremble	calm	peace	happiness	love	joy
84295	cat	curtain	field	soil	momentum 	boat	shelter	pot	ocean	toenail
