id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	dat
84961	tree	building	shoe	laptop	backpack	pencil	clouds	sleep	smile	frown	77.16268091684296
81214	Bonnet	Friend	Church	Cherry	Elephants	Laundry	Beach	coconut	School	Dad	81.09672734779971
86728	shower	waterfall	bird	chicken	dumpling	soup	fireplace	marshmallows	friend	stars	71.1699206559431
83716	Work	School	Homework	Clothes	Shoes	Car	Chair	Computer	Videos	Audio	69.02716844564392
86812	Brandy	Reading	Triangle	Erika	Reindeer	Webcam	Questioning	Turnips	Youtube	Pollyanna	89.96372735571293
86791	plant	space	darkness	empty	chair	paper	cologne	scribble	sponge 	duck	80.00245175900913
84412	tired	procrastinate	annoyed 	pets	noise	work	research	emails 	summer	sleep 	75.19445703143165
84790	life	meal	opportunity	carnival	picture	freedom	ant	time	focus	present	73.6571181742918
80365	red	tip	eye	boo	see	pen	key	pin	ear	lip	71.45198125924382
81154	paper	turtle	cloud	glass	dirt	blouse	food	frog	star	space	79.16376863916715
83539	chair	girl	book	apple	cat	car	beach	stool	phone	glasses	72.83578436999093
78778	Music 	Video game	Woman 	Shirt 	Dots	Fan 	Water bottle 	Light 	Stick	Keys 	74.1229847073555
85201	Ball	Troubleshoot manuel	Potato soup	Gum	Goose	Feet	Baseball Glove	Cheetos	Salmon	Shopkeeper	NA
85819	Jupiter	Spinach	Tube	Turnip	Cauliflower	Expression	Background	Encapsulation	Locomotive	Predator	81.08328937641566
78304	apple	orange 	tree	car	arm	circle	triangles	square 	red	blue	72.03697886850152
80797	car	coffee	glass	keyboard	table	tree	newtons law of gravity	sugar	apple	purple	71.87476690326419
83614	shoe	dog	tree	grass	house	car	signs	phone	watch	necklace	69.42222600891476
79834	beast	nail	cord	tree	halo	cloud	pencil	rodeo	button	pressure	78.14630805736496
82423	Apple	House	CD	Books	Clown	Poster	Spiderweb	Vampire	Pumpkin	Coffee	80.8790475307476
86797	Art	Pool	Book	Letter	Fast	Laptop	Ipad	Phone	Nail	Finger 	78.25211024000531
81733	Frog	Car	Cloud	Box 	Rug	Tree	Creek	Chips 	Rose	Jewelry	75.1969433256558
78310	Ocean	Love	Chair	Piano	Music	Table 	Spoon	Plate	backpack	apple	72.28647215025765
78802	dictionary	wizard	wish	pasta	dog	boat	text	dolphin	sun	hurdle	80.58087169414475
84286	Mom	Him	Her	It	They	Blue	Space	Cup	Them	She	58.31040236211958
84352	car	headphones	mango	blue	grass	kayak	frame	ball	protest	january	78.97528466724214
81772	technology	nature	humanity	animals	progress	stagnation	temporary	everlasting	god	men	71.58436143682117
82123	red	tree	shoulder	fish	water	pole	metal	bed	saw	quilt	69.01640345652898
86890	person	octopus	orange	rock	emotion	summer	mushroom	tree	river	sly	76.48368538135574
78766	food	cars	keyboard	earbuds	books	bags	jewelry	watch	paint	phone	79.50953123647542
	Cup	Glass	Car	Bin	Chair	Shoe	Drawer	Mirror	Cardstock	Pillow	74.09811949446087
86821	thoughts	panda	religion	dust	bread	snow	tendon	concrete	photon	reflection	83.65518122916997
	Cody	Eric	Boba	Computer	Las Vegas	Taiwan	Japan	Thailand	Vietnam	China	NA
78811	Phone	Hand	Light	Cat	car	Apple	Shoe	Sun	Planet	Computer	71.45565045731408
85690	book	number	computer	ocean	planet	forest	rock	medicine	lotion	homework	74.9783137014934
86200	dog	tree	chair	bike	projector	phone	cat	grass	boat	microwave	73.71426270831199
85564	homework 	computer 	car	water 	hair 	gym	day	food	hungry 	tv	71.4778163603374
86389	card	bed	shirt	lightbulb	dog	cat 	bear	fish 	scooter	spoon	73.40469947528271
78601	Sun 	Clock 	Tree	Book 	Weights 	Bike 	Life 	Rocks	Water	Music	76.25329079372543
83512	keyboard	medicine	coaster	pencil	bottle	speaker	sunglasses	keys	eyedrops	bed	82.76694519888787
84391	bottle 	baby	goat 	sock	Disneyland 	caterpillar	butterfly 	dolphin 	shark 	hair	72.49172982715424
86875	Trapped	Tree	Emotion	Loss	Peace	Time	Tingles	Squished	Honey	Block	79.18189672221031
76609	Music	Food	Train	Bed	Animal	Tree	Water	Computer	Face	Shoe	71.75764107987995
86071	God	rainbow	light	darkness	tremble	calm	peace	happiness	love	joy	66.49486770232518
84295	cat	curtain	field	soil	momentum 	boat	shelter	pot	ocean	toenail	79.01808990254288
