id,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
84961,happy,sad,scared,bright,dark,,,,,
81214,pigeon,Space,toothbrush,office,shoes,crayons,california,grandma,book,notebook
86728,bird,airplane,hike,oak,sky,flower,rain,granite,windchime,waterfall
86812,Meadow,Rake,Butter,Welcome,Mystique,Denounced,Desperate,Wellyed,Dune,Ardent
83539,robot,door,bunny,restroom,flower,nails,death,ice ,girl,music
86791,void,flow,anxious,vivid,overwhelm,spike,encouragement,fire,life ,time 
84790,iron,control,room,yellow,train,doll,red,escape,pink,sky
83716,mind,life,calm,lights,vibration,pressure,comfort,bundled,light,stress
80365,pop,car,lip,left,right,cute,ice,cat,up,down
81154,travel,moonlight,dirt,blueberries,smiles,swirls,collective ,fluid ,air ,freedom 
84412,work,dancing ,video games ,family,colors,trucks ,research ,professors ,friends ,future 
81772,light,dark,progress,conservatism,chaos,order,acceptance,change,growth,stagnation
80797,orange,wheel,math,sun,rock,insect,life,water,bird,flower
78778,rock,book,lock,fan,pen,lava,body,ice,girl,
86797,color,space,time,reality,dark,speed,light,black,eye,sleep
82423,Cat,Hamster,Factory,Restroom,Shower,Trashcan,Teacher,Truck,Train,Box
78304,tree,paint,circles,sun,moon,butterfly,flower,grass,star,triangle
85201,Chair,Sandwich,Shoes,sword,statue,keyboard,potato,chip,fashion catalog,Orion
85819,button,moose,trigger,trash,species,regimen,camera,distortion,enigma,sequence
79834,wand,chihuahua,lipstick,vomit,tree,knuckle,wrench,wine,song,beaker
83614,ship,ball,net ,car,shoes,socks ,tree,pen,charger,phone
81733,Party,Jewelry,Comets,Darkness,Shirt,Medicine,Printer,Cheese,Technology,Train
