id,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10
84961,backpack,watch,pencil,pen,phone,,,,,
81214,fish,apple,vacuum,bedroom,mother,pen,skirt,sister,paris,cat
86728,fire,water,sound,jump,shark,giraffe,fireman,school,boss,grade
86812,Pernicious,Derriere,Rotunda,Mouse,Beam,Erudite,Desert,Zahavi,Reason,Truth
83539,apple,books,horse,shirt,computer,glasses,beach,gym,tent,plate
86791,plant,pencil,shoe,coal,water,,,,,
84790,car,balloon,sky,paper,tea,shoes,lightbulb,blanket,cookies,couch
83716,mind,soul,thoughts,school,future,time,job,stress,interview,booked
80365,hair,chair,pen,ring,fire,eye,rock,shoe,four,two
81154,floor,sky,theories,colors,feelings,eyes,gardens,space,reality,time
84412,zen,dark,colors,pet,homework,music,yoga,library ,research,friends
81772,liberal,conservative,transgender,church,religion,progress,liberation,capitalism,security,equity
80797,car,watch,water,lemon,ice,building,hammer,pencil,blue,coffee
78778,fire,water,Dirt,air,cat,sock,leaf,keyboard,blanket,chair
86797,pen,book,sleep,water,movies,finger,shoes,sun,food,nose
82423,pencil,car,hat,dog,cat,hamster,school,babysitter,dorm,house
78304,car,watch,pencil,cat,car,dog,policeman,brother,book,boy
85201,cheese,Apple,Pho,Pyramid,Road,Banana,Rhino,Cup,Book,Supercalifragilisticexpialidocious
85819,truck,melody,fiduciary,peace,concomittance,success,lawnmower,doorstop,railgun,hazard
79834,rhubarb,lye,gash,cross,fingernail,tile,dent,basket,mechanic,poster
83614,BALL,NEST,COMPUTER,BED ,SOFA,PAN,CLEATS,DESK,CHAIR,TREE
81733,Blueberry,Basketball,Island,Clock,Dog,Box,,,,
