StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ParticipantID,MLQ_1,MLQ_2,MLQ_3,MLQ_4,MLQ_5,MLQ_6,MLQ_7,MLQ_8,MLQ_9,MLQ_10,MLQ_DO,AWE_1,AWE_2,AWE_3,AWE_4,AWE_5,AWE_6,AWE_7,AWE_8,AWE_9,AWE_10,AWE_11,AWE_12,AWE_13,AWE_14,AWE_15,AWE_DO,Qualitative,Age,Psychedelic,Gender,ReligiousScale,FL_10_DO,Demographics_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter the ID you see at the top of your screen,"Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I understand my life’s meaning.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I am looking for something that makes my life feel meaningful.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I am always looking to find my life’s purpose.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - My life has a clear sense of purpose.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I have a good sense of what makes my life meaningful.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I have discovered a satisfying life purpose.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I am always searching for something that makes my life feel significant.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I am seeking a purpose or mission for my life.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - My life has no clear purpose.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I am searching for meaning in my life.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - Display Order","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I sensed things momentarily slowed down","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I noticed time slowing","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt my sense of time change","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I experienced the passing of time differently","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I had a sense that a moment lasted longer than usual","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt that my sense of self was diminished","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt my sense of self shrink","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I experienced a reduced sense of self","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt my sense of self become somehow smaller","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt small compared to everything else","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I had a sense of being connected to everything","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt a sense of communion with all living things","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I experienced a sense of oneness with all things","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt closely connected to humanity","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I had a sense of complete connectedness","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - Display Order","In your own words, briefly describe your feelings during the visual task",How old are you?,Psychedelic?,What is your gender?,"How strongly do you believe in God or gods (from 0-100)? 

(To clarify, if you are certain that God (or gods) does not exist, please put ""0"" and if you are certain that God (or gods) does exist, then put ""100)",FL_10 - Block Randomizer - Display Order,Demographics - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID106_TEXT""}","{""ImportId"":""QID98_4""}","{""ImportId"":""QID98_5""}","{""ImportId"":""QID98_6""}","{""ImportId"":""QID98_7""}","{""ImportId"":""QID98_8""}","{""ImportId"":""QID98_9""}","{""ImportId"":""QID98_10""}","{""ImportId"":""QID98_11""}","{""ImportId"":""QID98_12""}","{""ImportId"":""QID98_13""}","{""ImportId"":""QID98_DO""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID107_2""}","{""ImportId"":""QID107_3""}","{""ImportId"":""QID107_4""}","{""ImportId"":""QID107_5""}","{""ImportId"":""QID107_11""}","{""ImportId"":""QID107_12""}","{""ImportId"":""QID107_13""}","{""ImportId"":""QID107_14""}","{""ImportId"":""QID107_15""}","{""ImportId"":""QID107_16""}","{""ImportId"":""QID107_17""}","{""ImportId"":""QID107_18""}","{""ImportId"":""QID107_19""}","{""ImportId"":""QID107_20""}","{""ImportId"":""QID107_DO""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""FL_10_DO""}","{""ImportId"":""BL_0wZf38Zf8bH0zXL_DO""}"
2022-08-11 10:33:47,2022-08-11 10:35:33,0,76.86.236.35,100,106,1,2022-08-11 10:35:34,R_TtmEtSO7Oalzwt3,,,,,34.1211,-117.4362,anonymous,EN,137223928,,,,,,,,,,,,7,6,5,6,6,6,5,5,7,5,6,6,5,5,6,10|7|11|2|8|3|1|6|15|12|5|14|13|9|4,I felt like time was moving slower although the visuals were moving pretty fast. I definitely felt small like i did not matter when i focused.,33,2,1,20,AweExperienceScale,Age|Psychedelic|ReligiousScale|Gender
2022-08-11 10:35:15,2022-08-11 10:36:52,0,24.101.43.168,100,97,1,2022-08-11 10:36:52,R_2sZnTiDMZnTVJHS,,,,,41.0996,-80.7523,anonymous,EN,174700701,,,,,,,,,,,,5,6,5,5,5,5,6,5,6,7,6,6,6,6,6,12|10|1|5|9|4|13|2|14|6|8|3|15|11|7,"It was visually pleasing watching the colors change into each other and more colors appearing slowly each time as the circles separated into more. ",39,1,2,15,AweExperienceScale,Psychedelic|ReligiousScale|Age|Gender
2022-08-11 10:37:42,2022-08-11 10:38:43,0,138.229.205.113,100,60,1,2022-08-11 10:38:43,R_3KYFWsEt3lCx0SD,,,,,33.763,-118.1774,anonymous,EN,155774782,2,5,6,2,3,2,6,5,6,6,7|10|3|4|6|2|9|1|8|5,,,,,,,,,,,,,,,,,"trying to find peace, be relaxed and calm within myself",35,2,1,100,MLQ,Psychedelic|ReligiousScale|Age|Gender
2022-08-11 10:36:55,2022-08-11 10:41:16,0,68.199.25.98,100,260,1,2022-08-11 10:41:16,R_3iWN39z2mbZi4fx,,,,,40.6679,-74.1178,anonymous,EN,187382099,3,6,6,5,5,5,6,6,3,6,10|6|4|1|3|9|5|8|7|2,,,,,,,,,,,,,,,,,"I liked the color scheme, but I thought it was a bit choppy. If it was smoother I would have enjoyed it more. Overall it still was enjoyable, and I felt very relaxed.",67,1,1,0,MLQ,Psychedelic|Gender|ReligiousScale|Age
2022-08-11 10:38:45,2022-08-11 10:41:32,0,96.57.65.98,100,166,1,2022-08-11 10:41:32,R_1QuWKi187fbc2yi,,,,,40.8771,-73.0885,anonymous,EN,163921785,,,,,,,,,,,,3,3,2,2,4,3,3,2,3,3,3,2,3,3,3,2|10|4|11|15|6|8|3|7|5|13|1|12|14|9,"While looking at the 3d visualization, I found my mind wondering a lot, but time was going as always. Pleasant colors made me feel good ;)",41,2,1,10,AweExperienceScale,ReligiousScale|Psychedelic|Age|Gender
2022-08-11 10:38:08,2022-08-11 10:43:39,0,73.175.0.76,100,331,1,2022-08-11 10:43:39,R_33kHCtWIljSiQlh,,,,,40.5992,-77.5768,anonymous,EN,199640961,5,4,5,5,5,5,4,5,2,4,4|10|7|5|1|9|2|6|8|3,,,,,,,,,,,,,,,,,"It was odd, they way they kept slowing down and speeding up. I kept thinking to myself I wonder if t is supposed to be doing that. I wondered if I'm supposed to be keeping track of anything.",52,2,1,50,MLQ,ReligiousScale|Psychedelic|Gender|Age
2022-08-11 10:44:25,2022-08-11 10:46:00,0,67.141.102.127,100,94,1,2022-08-11 10:46:00,R_27HFKtSEwQT2cTb,,,,,34.9251,-80.7278,anonymous,EN,197936189,6,2,2,6,6,6,1,1,1,2,9|8|1|3|6|5|4|2|7|10,,,,,,,,,,,,,,,,,I felt like I was travelling...exploring space even.  I felt like I did when I was a kid at a light show or at a museum.  It was immersive and impressive.  I enjoyed it!,47,2,1,99,MLQ,Psychedelic|Gender|Age|ReligiousScale
2022-08-11 10:38:25,2022-08-11 10:47:10,0,173.47.178.180,100,525,1,2022-08-11 10:47:10,R_6tHJU1jbG8AOMW5,,,,,35.0275,-99.0849,anonymous,EN,124924889,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7|8|4|5|11|10|13|3|9|12|15|1|2|14|6,trippy,59,2,1,100,AweExperienceScale,Gender|Psychedelic|Age|ReligiousScale
