StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Participant ID,MLQ_1,MLQ_2,MLQ_3,MLQ_4,MLQ_5,MLQ_6,MLQ_7,MLQ_8,MLQ_9,MLQ_10,MLQ_DO,AWE_1,AWE_2,AWE_3,AWE_4,AWE_5,AWE_6,AWE_7,AWE_8,AWE_9,AWE_10,AWE_11,AWE_12,AWE_13,AWE_14,AWE_15,AWE_DO,Qualitative1,Age,Psychedelic,Gender,ReligiousScale,FL_10_DO,Demographics_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter the ID you see at the top of your screen,"Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I understand my life’s meaning.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I am looking for something that makes my life feel meaningful.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I am always looking to find my life’s purpose.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - My life has a clear sense of purpose.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I have a good sense of what makes my life meaningful.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I have discovered a satisfying life purpose.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I am always searching for something that makes my life feel significant.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I am seeking a purpose or mission for my life.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - My life has no clear purpose.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - I am searching for meaning in my life.","Please take a moment to think about what makes your life and existence feel important and significant
to you. Please respond to the following statements as truthfully and accurately as you can, and also
please remember that these are very subjective questions and that there are no right or wrong
answers. Please answer according to the scale below: - Display Order","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I sensed things momentarily slowed down","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I noticed time slowing","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt my sense of time change","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I experienced the passing of time differently","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I had a sense that a moment lasted longer than usual","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt that my sense of self was diminished","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt my sense of self shrink","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I experienced a reduced sense of self","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt my sense of self become somehow smaller","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt small compared to everything else","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I had a sense of being connected to everything","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt a sense of communion with all living things","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I experienced a sense of oneness with all things","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I felt closely connected to humanity","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - I had a sense of complete connectedness","With the memory of that single experience that you just had, please answer the following questions about how you felt. While you may have had other experiences that are relevant to the following questions, please answer only about the SINGLE experience that you just had. - Display Order","In your own words, briefly describe your feelings during the visual task",How old are you?,Psychedelic?,What is your gender?,"How strongly do you believe in God or gods (from 0-100)? 

(To clarify, if you are certain that God (or gods) does not exist, please put ""0"" and if you are certain that God (or gods) does exist, then put ""100)",FL_10 - Block Randomizer - Display Order,Demographics - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID106_TEXT""}","{""ImportId"":""QID98_4""}","{""ImportId"":""QID98_5""}","{""ImportId"":""QID98_6""}","{""ImportId"":""QID98_7""}","{""ImportId"":""QID98_8""}","{""ImportId"":""QID98_9""}","{""ImportId"":""QID98_10""}","{""ImportId"":""QID98_11""}","{""ImportId"":""QID98_12""}","{""ImportId"":""QID98_13""}","{""ImportId"":""QID98_DO""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID107_2""}","{""ImportId"":""QID107_3""}","{""ImportId"":""QID107_4""}","{""ImportId"":""QID107_5""}","{""ImportId"":""QID107_11""}","{""ImportId"":""QID107_12""}","{""ImportId"":""QID107_13""}","{""ImportId"":""QID107_14""}","{""ImportId"":""QID107_15""}","{""ImportId"":""QID107_16""}","{""ImportId"":""QID107_17""}","{""ImportId"":""QID107_18""}","{""ImportId"":""QID107_19""}","{""ImportId"":""QID107_20""}","{""ImportId"":""QID107_DO""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""FL_10_DO""}","{""ImportId"":""BL_0wZf38Zf8bH0zXL_DO""}"
2022-08-11 10:34:48,2022-08-11 10:36:38,0,73.214.83.191,100,110,1,2022-08-11 10:36:39,R_2WxmNVHxNUw5hmk,,,,,39.652,-79.9444,anonymous,EN,127634846,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14|9|11|7|3|1|2|4|10|12|15|8|13|5|6,I thought about previous experiences with psychedelics.,34,1,1,0,AweExperienceScale,Gender|Psychedelic|ReligiousScale|Age
2022-08-11 10:34:43,2022-08-11 10:36:43,0,38.141.233.102,100,120,1,2022-08-11 10:36:43,R_3hyHW4sTw8nOz1X,,,,,34.0026,-96.3832,anonymous,EN,115209803,6,3,3,6,6,6,3,3,1,3,2|1|5|6|9|8|7|4|10|3,,,,,,,,,,,,,,,,,"It was ethereal, like falling  through jello. Layers and layers of jello with suspended objects. ",40,2,2,100,MLQ,Psychedelic|Gender|ReligiousScale|Age
2022-08-11 10:34:44,2022-08-11 10:38:11,0,107.11.182.13,100,206,1,2022-08-11 10:38:11,R_1geCVgdzjiOFg76,,,,,40.2738,-81.8662,anonymous,EN,161239953,4,7,6,3,5,5,7,6,4,7,8|4|3|1|9|7|5|6|2|10,,,,,,,,,,,,,,,,,I was captivated by the colors and shapes. I wondered if there was a goal I should be meeting. I enjoyed seeing where the paths would take me.,47,2,2,98,MLQ,Age|Psychedelic|Gender|ReligiousScale
2022-08-11 10:39:54,2022-08-11 10:41:43,0,83.136.182.60,100,109,1,2022-08-11 10:41:44,R_OfIayaNfPuDqzZf,,,,,39.7501,-104.9957,anonymous,EN,143560479,7,4,5,6,7,7,5,6,1,4,6|9|1|5|10|4|2|3|7|8,,,,,,,,,,,,,,,,,it was fascinating and enjoyable,34,2,1,100,MLQ,ReligiousScale|Gender|Psychedelic|Age
2022-08-11 10:44:05,2022-08-11 10:46:42,0,68.64.118.38,100,156,1,2022-08-11 10:46:42,R_3gUE6gM4bsHCcox,,,,,37.3477,-82.8787,anonymous,EN,150787919,,,,,,,,,,,,1,2,2,3,2,3,1,1,1,5,2,1,1,2,2,7|12|9|14|13|10|6|5|3|15|8|4|2|1|11,I felt like I was unable to control where I went. I felt very alert,32,2,1,1,AweExperienceScale,Psychedelic|Age|Gender|ReligiousScale
2022-08-11 10:47:03,2022-08-11 10:48:31,0,66.24.139.221,100,87,1,2022-08-11 10:48:32,R_3CO6VfMoyxkHGiN,,,,,42.1816,-76.8295,anonymous,EN,111344205,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,8|3|13|14|2|10|12|15|6|4|5|1|9|7|11,A loss of time and reality,38,1,1,10,AweExperienceScale,Psychedelic|ReligiousScale|Gender|Age
2022-08-11 10:47:10,2022-08-11 10:49:47,0,174.53.41.78,100,157,1,2022-08-11 10:49:48,R_3s6VcgWiP4APrMm,,,,,34.8108,-92.2249,anonymous,EN,145317216,2,6,5,2,2,2,6,4,6,6,7|3|2|4|9|1|5|10|8|6,,,,,,,,,,,,,,,,,"It was calming at first, but I started to feel as though it would never end and I was just stuck in a loop.  I will say I did get lost in the images for a while. ",32,2,2,0,MLQ,ReligiousScale|Gender|Age|Psychedelic
2022-08-11 10:50:51,2022-08-11 10:53:29,0,63.75.255.199,100,158,1,2022-08-11 10:53:29,R_VXxCWwKfg7CAzFD,,,,,40.7066,-74.2027,anonymous,EN,148588692,6,5,4,4,6,5,6,5,4,5,9|2|5|6|4|3|8|7|10|1,,,,,,,,,,,,,,,,,good,42,2,2,90,MLQ,Age|Psychedelic|ReligiousScale|Gender
